run_id,function,method,n,p,q,rep,seed_data,seed_model,status,error,train_time_sec,pred_time_sec,nit,njev,nfev,rmse,coverage_95,interval_len_95,dss_diag,dss_full
run_3532236594,borehole,LCGP,100,4,3,2,1490663890,2972008939,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.461752167029772,0.13188195799011737,90,96,96,79.36433589190985,0.957,223.05602121214528,30.187761698002344,
run_3532236594,borehole,MOOGP,100,4,3,3,3748590181,306058650,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.793321417004336,0.032976208021864295,278,323,323,41.28166471154585,0.93,95.21471977776471,23.53369451107956,
run_3532236594,borehole,LCGP,100,4,3,3,3748590181,2955949463,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4537734999903478,0.12318249995587394,136,146,146,98.29514866746653,0.947,259.0369157496996,30.176971973311478,
run_3532236594,borehole,MOOGP,100,4,3,4,1393094716,3644934348,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6.82314845797373,0.014689208008348942,140,172,172,30.390141792985013,0.917,78.86555514795826,25.19307437542476,
run_3532236594,borehole,LCGP,100,4,3,4,1393094716,1563857653,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3842200000071898,0.13092787499772385,135,138,138,70.89745216964218,0.964,224.2504545862993,31.966543794833868,
run_3532236594,borehole,MOOGP,100,4,3,5,2791842574,4046863170,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.80494516598992,0.02412720798747614,197,228,228,45.8051850113896,0.943,112.89543262030186,24.44889644307669,
run_3532236594,borehole,LCGP,100,4,3,5,2791842574,547975410,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3339233750011772,0.1267132080392912,80,82,82,82.50586363089772,0.962,321.47253632402976,30.88231466793003,
run_3532236594,borehole,MOOGP,200,4,3,1,1882227481,3013628968,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17.015850791009143,0.04334287502570078,245,270,270,29.60634830614785,0.932,72.01387093066388,23.726166680144104,
run_3532236594,borehole,LCGP,200,4,3,1,1882227481,2128180717,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.805630624992773,0.14323337498353794,176,189,189,41.56263262204886,0.966,132.81208823232214,26.96459969772153,
run_3532236594,borehole,MOOGP,200,4,3,2,1534279100,2661466309,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.13372220803285,0.03011200000764802,191,218,218,25.044434599889403,0.93,63.48943409152668,23.40153297932027,
run_3532236594,borehole,LCGP,200,4,3,2,1534279100,3637150557,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.2010198330390267,0.1340282920282334,219,233,233,33.42599233562385,0.977,113.31491044886774,25.975524294751036,
run_3532236594,borehole,MOOGP,200,4,3,3,3472848077,683838818,ok,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.554579083051067,0.03262979199644178,165,186,186,46.14787731724681,0.925,113.83322695597187,25.70051592124547,
