n_train,rep,seed,method,output,beta_type,beta_value,true_beta
25,9,20510330,MOGP,3,intercept,-0.8300144869220913,-0.1760633692862555
25,9,20510330,MOGP,3,trend,-9.450799974752492,-8.373014073965729
25,9,20510330,OLS,1,intercept,-1.792244733782469,-1.6549207883921637
25,9,20510330,OLS,1,trend,3.732489984351487,4.216267592457131
25,9,20510330,OLS,2,intercept,1.4278050090231587,1.672539605803907
25,9,20510330,OLS,2,trend,7.86052275816749,7.108133796228586
25,9,20510330,OLS,3,intercept,-0.3509406899563394,-0.1760633692862555
25,9,20510330,OLS,3,trend,-8.226804858392212,-8.373014073965729
25,10,20510331,MOOGP,1,intercept,-1.7518554646122673,-1.6549207883921637
25,10,20510331,MOOGP,1,trend,5.963991317645809,4.216267592457131
25,10,20510331,MOOGP,2,intercept,1.9915414239094278,1.672539605803907
25,10,20510331,MOOGP,2,trend,6.062977257134469,7.108133796228586
25,10,20510331,MOOGP,3,intercept,-0.1470777283623672,-0.1760633692862555
25,10,20510331,MOOGP,3,trend,-8.258958243285688,-8.373014073965729
25,10,20510331,MOGP,1,intercept,-2.8737548009174705,-1.6549207883921637
25,10,20510331,MOGP,1,trend,11.559688943035207,4.216267592457131
25,10,20510331,MOGP,2,intercept,1.4899117886777784,1.672539605803907
25,10,20510331,MOGP,2,trend,8.52782978449601,7.108133796228586
25,10,20510331,MOGP,3,intercept,0.6543194127866085,-0.1760633692862555
25,10,20510331,MOGP,3,trend,-12.226957807160122,-8.373014073965729
25,10,20510331,OLS,1,intercept,-1.6488701317345287,-1.6549207883921637
25,10,20510331,OLS,1,trend,5.692545719831911,4.216267592457131
25,10,20510331,OLS,2,intercept,2.024190757799069,1.672539605803907
25,10,20510331,OLS,2,trend,5.960040161256575,7.108133796228586
25,10,20510331,OLS,3,intercept,-0.20687987468691238,-0.1760633692862555
25,10,20510331,OLS,3,trend,-8.092297777308826,-8.373014073965729
25,11,20510332,MOOGP,1,intercept,-3.958472469814036,-1.6549207883921637
25,11,20510332,MOOGP,1,trend,6.082920318844682,4.216267592457131
25,11,20510332,MOOGP,2,intercept,1.1839216067974023,1.672539605803907
25,11,20510332,MOOGP,2,trend,8.22024209238286,7.108133796228586
25,11,20510332,MOOGP,3,intercept,-0.15693026285679057,-0.1760633692862555
25,11,20510332,MOOGP,3,trend,-8.595230391455281,-8.373014073965729
25,11,20510332,MOGP,1,intercept,-4.506721068523093,-1.6549207883921637
25,11,20510332,MOGP,1,trend,9.869646708158744,4.216267592457131
25,11,20510332,MOGP,2,intercept,0.8680553980509043,1.672539605803907
25,11,20510332,MOGP,2,trend,10.32388081208553,7.108133796228586
